Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
BC 13.pdf,12.26,10.23,28.893709327548805,1052,"pathways: 40, regulation: 114, global: 93, approach: 85, images: 2, world: 52, economic: 48, forum: 47, rights: 6, part: 7...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 13.pdf_repetitive_words_full_list.txt,2.28,0.31
BC 14.pdf,10.19,35.78,19.624015748031496,797,"engineering: 5, approach: 5, application: 28, distributed: 21, ledger: 25, technology: 21, blockchain: 43, long: 2, fortiss: 12, gmbh: 10...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 14.pdf_repetitive_words_full_list.txt,2.24,0.2
BC 15.pdf,35.86,49.35,25.38534278959811,837,"galaxy: 65, research: 60, bitcoin: 231, inscriptions: 164, ordinals: 57, market: 67, march: 5, report: 11, within: 2, leading: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 15.pdf_repetitive_words_full_list.txt,2.26,0.23
BC 16.pdf,48.07,30.91,24.593994778067884,1433,"evolution: 55, tokens: 59, collaboration: 11, bain: 12, company: 21, images: 2, world: 32, economic: 14, forum: 15, rights: 12...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 16.pdf_repetitive_words_full_list.txt,2.18,0.15
BC 17.pdf,8.47,49.15,21.78896882494005,609,"cryptography: 44, whitepaper: 34, threema: 154, uses: 21, modern: 2, based: 5, open: 8, source: 7, components: 3, security: 15...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 17.pdf_repetitive_words_full_list.txt,1.96,0.14
BC 18.pdf,84.09,20.82,26.8006993006993,1562,"global: 99, crypto: 296, regulation: 199, report: 111, december: 89, updated: 7, heading: 3, views: 4, single: 10, market: 97...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 18.pdf_repetitive_words_full_list.txt,1.48,0.06
BC 19.pdf,8.53,42.41,20.76384839650146,644,"creative: 2, commons: 2, commercial: 8, article: 5, distributed: 6, terms: 3, http: 5, work: 7, without: 10, provided: 5...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 19.pdf_repetitive_words_full_list.txt,2.61,0.34
BC 2.pdf,99.36,36.69,24.318840579710145,294,"blocpal: 37, international: 5, blockchain: 70, whitepaper: 17, version: 3, abstract: 2, introduction: 2, global: 6, factors: 3, opportunity: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 2.pdf_repetitive_words_full_list.txt,2.51,0.05
BC 20.pdf,28.64,46.71,25.689591078066915,937,"satoshi: 5, first: 33, bitcoin: 68, blockchain: 50, simultaneously: 3, concepts: 6, decentralized: 58, online: 3, currency: 28, value: 29...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 20.pdf_repetitive_words_full_list.txt,1.95,0.31
BC 21.pdf,38.34,44.24,22.826446280991735,454,"ieee: 67, future: 23, directions: 20, blockchain: 117, initiative: 23, white: 22, paper: 24, considered: 4, participating: 3, individuals: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 21.pdf_repetitive_words_full_list.txt,2.48,0.43
